iter	Passed	Remaining
189	677	2886
190	679	2877
191	680	2864
192	682	2852
193	683	2839
194	684	2827
195	686	2814
196	687	2802
197	688	2790
198	690	2778
199	691	2766
200	693	2757
201	694	2745
202	696	2733
203	697	2722
204	698	2710
205	700	2699
206	701	2688
207	703	2677
208	704	2666
209	706	2656
210	707	2646
211	709	2636
212	710	2625
213	712	2615
214	713	2604
215	714	2594
216	716	2584
217	717	2575
218	719	2565
219	720	2555
220	722	2546
221	724	2537
222	725	2527
223	726	2517
224	728	2507
225	729	2498
226	730	2488
227	732	2481
228	734	2473
229	736	2464
230	738	2457
231	739	2447
232	740	2438
233	742	2429
234	743	2420
235	745	2412
236	746	2403
237	747	2394
238	749	2385
239	750	2376
240	752	2369
241	753	2361
242	755	2352
243	756	2344
244	757	2335
245	759	2327
246	760	2319
247	762	2310
248	763	2302
249	764	2294
250	766	2286
251	768	2280
252	769	2272
253	770	2264
254	772	2256
255	773	2248
256	775	2240
257	776	2232
258	777	2225
259	779	2217
260	780	2209
261	782	2204
262	783	2196
263	785	2189
264	786	2182
265	788	2174
266	789	2167
267	790	2160
268	792	2152
269	793	2145
270	794	2138
271	796	2132
272	798	2125
273	799	2119
274	801	2112
275	802	2105
276	803	2098
277	805	2091
278	806	2084
279	808	2078
280	809	2071
281	811	2066
282	813	2060
283	814	2054
284	816	2047
285	817	2041
286	819	2034
287	820	2028
288	821	2022
289	823	2016
290	824	2009
291	827	2005
292	828	1999
293	830	1993
294	831	1986
295	832	1980
296	834	1974
297	835	1968
298	836	1962
299	838	1955
300	839	1950
301	842	1946
302	843	1941
303	845	1935
304	846	1929
305	848	1925
306	850	1920
307	857	1926
308	859	1921
309	861	1916
310	862	1911
311	864	1905
312	865	1899
313	866	1893
314	868	1887
315	869	1882
316	876	1888
317	878	1883
318	879	1877
319	880	1871
320	882	1865
321	883	1860
322	885	1854
323	889	1856
324	891	1850
325	892	1845
326	893	1839
327	895	1834
328	896	1829
329	898	1823
330	899	1818
331	901	1814
332	903	1810
333	905	1805
334	906	1799
335	908	1794
336	909	1789
337	911	1784
338	912	1779
339	915	1777
340	917	1773
341	919	1768
342	920	1763
343	921	1757
344	923	1752
345	924	1748
346	926	1742
347	927	1737
348	930	1735
349	932	1731
350	933	1725
351	934	1720
352	936	1715
353	937	1711
354	939	1706
355	940	1701
356	941	1696
357	943	1691
358	946	1690
359	948	1686
360	950	1681
361	951	1676
362	952	1671
363	954	1667
364	955	1662
365	957	1657
366	958	1653
367	960	1650
368	962	1645
369	963	1640
370	965	1636
371	966	1631
372	967	1627
373	969	1622
374	970	1617
375	972	1613
376	975	1611
377	976	1607
378	978	1602
379	979	1598
380	981	1593
381	982	1589
382	983	1585
383	985	1580
384	986	1576
385	990	1575
386	991	1570
387	993	1566
388	995	1563
389	996	1559
390	998	1555
391	999	1550
392	1001	1546
393	1006	1547
394	1007	1543
395	1009	1539
396	1011	1535
397	1012	1531
398	1013	1527
399	1015	1522
400	1017	1520
401	1019	1516
402	1020	1511
403	1021	1507
404	1023	1503
405	1024	1499
406	1026	1495
407	1027	1490
408	1028	1486
409	1032	1485
410	1033	1481
411	1034	1477
412	1036	1473
413	1037	1468
414	1039	1464
415	1040	1460
416	1041	1456
417	1043	1452
418	1046	1451
419	1048	1448
420	1049	1443
421	1051	1439
422	1052	1435
423	1054	1432
424	1055	1427
425	1056	1423
426	1058	1419
427	1060	1417
428	1062	1414
429	1064	1410
430	1065	1406
431	1067	1403
432	1068	1399
433	1069	1395
434	1071	1391
435	1072	1387
436	1074	1383
437	1077	1382
438	1078	1378
439	1080	1374
440	1081	1370
441	1082	1367
442	1084	1363
443	1085	1359
444	1087	1355
445	1088	1352
446	1094	1353
